Datum,Lokacija,Država,Opis,Smrti,Škoda (mio $),INES ocena
2002,"Tihange, Belgium",Belgium,"""Safety injection during hot shutdown at Tihange 2 unit"".",0,,2.0
2005,"Tihange, Belgium",Belgium,"""Inadequate protection relays and related setpoints"".",0,,2.0
2006,"Fleurus, Belgium",Belgium,"""Severe health effects for a worker at a commercial irradiation facility as a result of high doses of radiation"" at Sterigenics.",0,,4.0
2008,"Fleurus, Belgium",Belgium,Iodine-131 release in the environment.,0,,3.0
2011,"Doel, Belgium",Belgium,"""Inadequate setting of the auxiliary feedwater turbopump"".",0,,2.0
"December 12, 1952","CRL, Ontario, Canada",Canada,The NRX accident. A hydrogen explosion occurred in the reactor core due to a cascade of malfunctions and operator errors. The world's first major nuclear reactor accident.,0,,5.0
"May 24, 1958","CRL, Ontario, Canada",Canada,"The NRU accident. A fuel rod caught fire and broke when removed, then dispersed fission products and alpha-emitting particles in the reactor building.",0,,
November 1978,"WR-1 Reactor at Pinawa, Manitoba, Canada",Canada,"LOCA loss of coolant accident. 2,739 litres of coolant oil leaked, most of it into the Winnipeg River. The repair took several weeks for workers to complete.",0,,
"August 1, 1983","Pickering nuclear Reactor 2, Pickering, Ontario, Canada",Canada,"LOCA loss of coolant accident. Pressure tube, that holds the fuel bundles, ruptured due to hydriding. All four reactors re-tubed with new materials (Zr-2.5%Nb) over ten years.",0,,
March 1986,"Bruce nuclear Reactor 2, Bruce County, Ontario, Canada",Canada,LOCA Loss of coolant accident. Pressure tube rupture during pressurizing test (reactor shut down). Pressure tube holds the fuel bundles.,0,,
"August 2, 1992","Pickering nuclear Reactor 1, Pickering, Ontario, Canada",Canada,"A Heavy water leak of 2300 trillion becquerels of radioactive tritium into Lake Ontario, resulting in increased levels of tritium in Toronto drinking water .",0,,
"December 10, 1994","Pickering nuclear Reactor 2, Pickering, Ontario, Canada",Canada,LOCA loss of coolant accident. A spill of 185 tonnes of heavy water. The Emergency Core Cooling System was used to prevent a meltdown.,0,,2.0
"June 11, 2002","Bruce nuclear Reactor 6, Bruce B station. Bruce County, Ontario, Canada",Canada,"Pressure tube and calandria tube damage during a channel maintenance procedure, required replacement of the two tubes.",0,,0.0
"December 21, 2009","Darlington nuclear station. Clarington, Ontario, Canada",Canada,"Around 200,000 litres of water with trace amounts of radioactive isotope tritium coming from a storage tank mistakenly were released by workers into Lake Ontario, representing 0.1% of the monthly allowed amounts of tritium for this power plant.",0,,
"March 14, 2011","Pickering nuclear Plant A Pickering, Ontario, Canada",Canada,"A leak of 73 cubic metres (73,000 litres) of demineralized water into Lake Ontario from a failed pump seal. There was negligible risk to the public according to the Canadian Nuclear Safety Commission.",0,,
17 Oct 1969,"Loir-et-Cher, France",France,"50 kg of uranium dioxide melted inside of the A1 nuclear reactor of Saint-Laurent-des-Eaux, during a refueling operation",0,,4.0
25 Jul 1979,"Saclay, France",France,"Radioactive fluids escaped into drains designed for ordinary wastes, seeping into the local watershed at the Saclay BL3 Reactor",0,5.0,
13 Mar 1980,"Loir-et-Cher, France",France,"A malfunctioning cooling system fused fuel elements together at the Saint Laurent A2 reactor, melting two fuel assemblies and forcing an extended shutdown",0,22.0,4.0
14 Apr 1984,"Bugey, France",France,Electrical cables failed at the command center of the Bugey Nuclear Power Plant and forced a complete shutdown of one reactor,0,2.0,
21 May 1986,"Normandy, France",France,Pipe maintenance at the fuel reprocessing plant at La Hague released a radioactive solution to which three welders and two plant workers were exposed.,0,5.0,
27 Dec 1999,"Blayais, France",France,"An unexpectedly strong storm flooded the Blayais Nuclear Power Plant, forcing an emergency shutdown after injection pumps and containment safety systems failed from water damage",0,55.0,2.0
21 Jan 2002,"Manche, France",France,"Control systems and safety valves failed after improper installation of condensers, forcing a two-month shutdown",0,102.0,
16 May 2004,"Cattenom-2, Lorraine, France",France,"Sub-standard electrical cable trays at the Cattenom-2 nuclear reactor caused a fire in an electricity tunnel, damaging many safety system cables ",0,12.0,1.0
13 Jul 2008,"Tricastin, France",France,Thousands of litres (thirty cubic meters) of wastewater contaminated with uranium were accidentally poured on the ground and runoff into a nearby river,0,7.0,1.0
9 Aug 2009,"Gravelines, France",France,"Assembly system failed to properly eject spent fuel rods from the Gravelines Nuclear Power Plant, causing the fuel rods to jam and the defueling operation to be suspended",0,2.0,1.0
5 Apr 2012,"Penly, France",France,"Fire on a primary pump of the second reactor, followed by a small radioactive leak into the containment",0,,1.0
2017,"France, generic",France,20 reactors of the 1300 MW-class with seismic weaknesses on their emergency diesel generators,0,,2.0
1975,"Greifswald, East Germany",Germany,A near core meltdown at Greifswald Nuclear Power Plant: Three out of six cooling water pumps were switched off for a failed test. A fourth pump broke down by loss of electric power and control of the reactor was lost. 10 fuel elements were slightly damaged before recovery,0,,3.0
4 May 1986,"Hamm-Uentrop, Germany",Germany,Operator actions to dislodge damaged fuel elements at the Thorium high-temperature reactor released radioactivity to 4 km2 surrounding the facility,0,267.0,
17 Dec 1987,"Hessen, Germany",Germany,Stop valve failed for a moment at Biblis Nuclear Power Plant; contamination of local area in the reactor building,0,13.0,
4 May 1987,"Kalpakkam, India",India,"Fast Breeder Test Reactor at Kalpakkam refuelling accident that ruptures the reactor core, resulting in a two-year shutdown",0,300.0,
10 Sep 1989,"Tarapur, Maharashtra, India",India,Operators at the Tarapur Atomic Power Station find that the reactor had been leaking radioactive iodine at more than 700 times normal levels. Repairs to the reactor take more than a year,0,78.0,
13 May 1992,"Tarapur, Maharashtra, India",India,A malfunctioning tube causes the Tarapur Atomic Power Station to release 12 curies of radioactivity,0,2.0,
31 Mar 1993,"Bulandshahr, Uttar Pradesh, India",India,"The Narora Atomic Power Station suffers a fire at two of its steam turbine blades, damaging the heavy water reactor and almost leading to a meltdown",0,220.0,
2 Feb 1995,"Kota, Rajasthan, India",India,"The Rajasthan Atomic Power Station leaks radioactive helium and heavy water into the Rana Pratap Sagar River, necessitating a two-year shutdown for repairs",0,280.0,
