Plant name - Argentina,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Atucha[4],1,PHWR,Siemens-KWU,Operational,335,1 Jun 1968,24 Jun 1974,
Atucha[4],2,PHWR,Siemens-KWU,Operational,692,14 Jul 1981,27 Jun 2014,
Atucha[4],3,PWR,Hualong One,Planned[5],1200,,,
Embalse[6],1,PHWR,CANDU-6,Operational,600,1 Apr 1974,20 Jan 1984,(2049)[7]
CAREM,1,PWR,CAREM25,Under construction,25,8 Feb 2014,,
Plant name - Armenia,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Metsamor,1,PWR,VVER-440/V-270,Shut down,376,1 Jul 1969,6 Oct 1977,25 Feb 1989
Metsamor,2,PWR,VVER-440/V-270,Operational,375,1 Jul 1975,3 May 1980,(2026)[8]
Plant name - Austria,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Zwentendorf,1,BWR,BWR-69 (KWU),Finished; never entered service,878,Apr 1972,,5 Nov 1978
Plant name - Bangladesh,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Rooppur,1,PWR,VVER-1200/V-523,Under construction,1080,30 Nov 2017[9],(2024)[10],
Rooppur,2,PWR,VVER-1200/V-523,Under construction,1080,14 Jul 2018,(2025),
Plant name - Belarus,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Ostrovets,1,PWR,VVER-1200/V-491,Operational,1109,6 Nov 2013,10 Jun 2021[11],
Ostrovets,2,PWR,VVER-1200/V-491,Operational,1109,24 Apr 2014,1 Nov 2023[12],
Minsk,1,PWR,VVER-1000,Unfinished,963,1983,,1987.0
Minsk,2,PWR,VVER-1000,Unfinished,963,1983,,1987.0
Plant name - Belgium,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
